,,,,,,,,,,,,,,,,,,,
420,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1 Brand,Model,Type,FL,Diam.,AFOV,Wt.,Eye Relief,Mfr's Field Stop ,Calc.FieldStop,Coatings,Edge black,Elem.,Mag.,Exit Pupil,TFOV,other currency, Price ,420,6.00
APM,Ultra Flat Field,Wide-Field,15,1.25,65,136,16.0,19.6,17.0,FMC,Y,8,28,2.5,2.67, , $ 159.99 ,420,6.00
APM,Ultra Flat Field,Wide-Field,18,1.25,65,206,20.0,23.4,20.4,FMC,Y,8,23,3.0,3.19, , $ 159.99 ,420,6.00
APM,Ultra Flat Field,Wide-Field,24,1.25,65,331,29.0,27.3,27.2,FMC,Y,8,18,4.0,3.72, , $ 229.99 ,420,6.00
APM,Ultra Flat Field,Wide-Field,30,2.00,70,556,22.0,38.0,36.7,FMC,Y,9,14,5.0,5.18, , $ 279.99 ,420,6.00
APM,Ultrawide ,UltraWideField,12.5,1.25,84,545,23.0,19.6,18.3,FMC,Y,9,34,2.1,2.67, , $ 359.99 ,420,6.00
APM,UW ,UltraWideField,30,2.00,80,550,22.0,?,41.9,FMC,Y,5,14,5.0,5.71,98, $ 118.58 ,420,6.00
APM,XWA HDC,Hyperwide field,3.5,1.25/2.00,110,525,15.0,?,6.7,FMC,Y,8,120,0.6,0.92,, $ 299.99 ,420,6.00
APM,XWA HDC,Hyperwide field,4.77,1.25/2.00,110,492,15.0,?,9.2,FMC,Y,8,88,0.8,1.25,, $ 299.99 ,420,6.00
APM,XWA HDC,Hyperwide field,7,1.25/2.00,100,,13.0,?,12.2,FMC,Y,9,60,1.2,1.67,, $ 299.99 ,420,6.00
APM,XWA HDC,Hyperwide field,9,1.25/2.00,100,468,13.0,?,15.7,FMC,Y,9,47,1.5,2.14,, $ 299.99 ,420,6.00
APM,XWA HDC,Hyperwide field,13,1.25/2.00,100,461,15.0,?,22.7,FMC,Y,9,32,2.2,3.10,, $ 299.99 ,420,6.00
APM,XWA HDC,Hyperwide field,20,2.00,100,678,15.0,?,34.9,FMC,Y,9,21,3.3,4.76,, $ 329.99 ,420,6.00
AQUILA,"private label, various Chinese clones, eBay",,,,,,,?,,,,,N/A,N/A,N/A,, $ 209.99 ,420,6.00
Arcturus,Ebony,Wide-Field,3.5,1.25/2.00,70,,17.0,?,4.3,FMC,Y,8,120,0.6,0.58,, $ 119.00 ,420,6.00
Arcturus,Ebony,Wide-Field,5,1.25/2.00,70,,17.0,?,6.1,FMC,Y,8,84,0.8,0.83,, $ 119.00 ,420,6.00
Arcturus,Ebony,Wide-Field,8,1.25/2.00,70,,17.0,?,9.8,FMC,Y,8,53,1.3,1.33,, $ 119.00 ,420,6.00
Arcturus,Ebony,Wide-Field,13,1.25/2.00,70,,17.0,?,15.9,FMC,Y,8,32,2.2,2.17,, $ 119.00 ,420,6.00
Arcturus,Ebony,Wide-Field,17,1.25/2.00,70,,17.0,?,20.8,FMC,Y,8,25,2.8,2.83,, $ 119.00 ,420,6.00
Arcturus,Ebony,Wide-Field,22,2.00,70,,17.0,?,26.9,FMC,Y,6,19,3.7,3.67,, $ 119.00 ,420,6.00
Arcturus,Ebony,Wide-Field,32,2.00,70,,17.0,?,39.1,FMC,Y,6,13,5.3,5.33,, $ 119.00 ,420,6.00
Arcturus,Plossl,Plossl,10,1.25,50,,7.0,?,8.7,?,?,4,42,1.7,1.19,, $ 29.99 ,420,6.00
Arcturus,Plossl,Plossl,32,1.25,50,,22.4,?,27.9,?,?,4,13,5.3,3.81,, $ 29.99 ,420,6.00
Artesky,Aspherical Zoom,Zoom,8-24,1.25/2.00,43-66,,15-20,?,,FMC,?,,N/A,N/A,N/A,, $ 209.99 ,420,6.00
Artesky,EWA,HyperWide Field,5,1.25,100,285,16.0,,,FMC,Y,6,84,0.8,0.00,, $ 267.00 ,420,6.00
Artesky,Planetary SW,Planetary,3.2,1.25,60,,16.0,?,3.4,FC,?,5,131,0.5,0.46,, $ 84.00 ,420,6.00
Artesky,Planetary SW,Planetary,4,1.25,60,,16.0,?,4.2,FC,?,5,105,0.7,0.57,, $ 84.00 ,420,6.00
Artesky,Planetary SW,Planetary,5,1.25,60,,16.0,?,5.2,FC,?,5,84,0.8,0.71,, $ 84.00 ,420,6.00
Artesky,Planetary SW,Planetary,6,1.25,60,,16.0,?,6.3,FC,?,5,70,1.0,0.86,, $ 84.00 ,420,6.00
Artesky,Planetary SW,Planetary,7,1.25,60,,16.0,?,7.3,FC,?,5,60,1.2,1.00,, $ 84.00 ,420,6.00
Artesky,Planetary SW,Planetary,8,1.25,60,,16.0,?,8.4,FC,?,5,53,1.3,1.14,, $ 84.00 ,420,6.00
